而,"1．表示并列关系。一般不译，有时可译为“又”。剑阁峥嵘而崔嵬，一夫当关，万夫莫开。（李白《蜀道难》）
2．表示递进关系。可译为“并且”或“而且”。①君子博学而日参省乎己。（荀子《劝学》）②楚怀王贪而信张仪，遂绝齐。（司马迁《屈原列传》）
3．表示承接关系。可译为“就”、“接着”，或不译。①故舍汝而旅食京师，以求斗斛之禄。（韩愈《祭十二郎文》）②人非生而知之者，孰能无惑。（韩愈《师说》）
4．表示转折关系。可译为“但是”“却”。①青，取之于蓝，而青于蓝。（荀子《劝学》）②有如此之势，而为秦人积威之所劫。（苏洵《六国论》）
5．表示假设关系。可译为“如果”、“假如”。①死而有知，其几何离。（韩愈《祭十二郎文》）
6．表示修饰关系，即连接状语。可不译。①吾尝跂而望矣，不如登高之博见也。（荀子《劝学》）
7．你、你的。必欲烹而翁，则幸分我一杯羹。《项羽本纪》"
何,"1．单独作谓语，后面常有语气助词“哉”、“也”，可译为“为什么”、“什么原因”。①齐人未尝赂秦，终继五国迁灭，何哉？（苏洵《六国论》）
2．作动词或介词的宾语，可译为“哪里”、“什么”。译时，“何”要后置。①大王来何操？（司马迁《鸿门宴》）
3．作定语，可译为“什么”、“哪”。①其间旦暮闻何物，杜鹃啼血猿哀鸣。（白居易《琵琶行》）
4．用在句首或动词前，常表示反问，可译为“为什么”“怎么”。①何不按兵束甲，北面而事之？（司马光《赤壁之战》）
5．用在形容词前，表示程度深，可译为“怎么”“多么”“怎么这样”。①至于誓天断发，泣下沾襟，何其衰也！（欧阳修《伶官传序》）
6. 复音虚词“何如”“何以”。怎么样，什么样。樊哙曰：“今日之事何如？”《鸿门宴》
7. 何以，即“以何”，介宾短语，相当于“拿什么”“凭什么”等。①一旦山陵崩，长安君何以自托于赵？（《战国策·触龙说赵太后》）"
乎,"1．表疑问语气。可译为“吗”“呢”。①儿寒乎？欲食乎？（归有光《项脊轩志》）
2．表示反问语气，相当于“吗”、“呢”。①吾师道也，夫庸知其年之先后生于吾乎？（韩愈《师说》）
3．表测度或商量语气，可译为“吧”。①圣人之所以为圣，愚人之所以为愚，其皆出于此乎？（韩愈《师说》）
4．用于感叹句或祈使句，可译为“啊”“呀”等。①悔相道之不察兮，延伫乎吾将反。（屈原《离骚》）
5．用在句中的停顿处，不译。胡为乎遑遑欲何之？《归去来兮辞》
6. 介词，相当于“于”“比”“对于”“在”。①醉翁之意不在酒，在乎山水之间也。（欧阳修《醉翁亭记》）（乎：于）。生乎吾前，其闻道也固先乎吾？（韩愈《师说》比）
7. 用于形容词或副词之后，译为“……的样子”“……地”。飘飘乎如遗世独立，羽化而登仙。（苏轼《赤壁赋》）"
乃,"1．表示前后两事在情理上的顺承或时间上的紧接，可译为“才”“这才”“就”等。悉使羸兵负草填之，骑乃得过。（司马光《赤壁之战》）
2．强调某一行为出乎意料或违背常理，可译为“却”“竟（然）”“反而”等；今其智乃反不能及。（韩愈《师说》）
3．可表示对事物范围的一种限制，可译为“只”“仅”等。项王乃复引兵而东，至东城，乃有二十八骑。（司马迁《史记·项羽本纪》）
4．用在判断句中，起确认作用，可译为“是”“就是”等。若事之不济，此乃天也。（司马光《赤壁之战》）
5. 代词。“你的”“你”。王师北定中原日，家祭无忘告乃翁。（陆游《示儿》）"
其,"1．第三人称代词。可译为“他的”“它的”“他”“它”（包括复数）。①秦王恐其破壁。（司马迁《廉颇蔺相如列传》）②其闻道也固先乎吾。（韩愈《师说》）
2．活用为第一人称或第二人称。译为“我的”“我（自己）”或者“你的”“你”。而余亦悔其随之而不得极夫游之乐也。（王安石《游褒禅山记》）
3．指示代词，“那”“那个”“那些”“这”“这个”。不嫁义郎体，其往欲何云？（《孔雀东南飞》）今存其本不忍废。（其：这）
4．指示代词，表示“其中的”，后面多为数词。于乱石间择其一二扣之。（苏轼《石钟山记》）
5. “难道”、“还是”、“大概”、“可能”。圣人之所以为圣，愚人之所以为愚，其皆出于此乎？（韩愈《师说》攻之不克，围之不继，吾其还也。（《烛之武退秦师》）
6. 连词。1．表示选择关系，相当于“是……还是……”。①其真无马邪？其真不知马也！（韩愈《马说》）②呜呼！其信然邪？其梦邪？其传之非其真邪？（韩愈《祭十二郎文》）2．表示假设关系，相当于“如果”。其业有不精，德有不成者，非天质之卑，则心不若余之专耳。（宋濂《送东阳马生序》）
7. 助词，起调节音节的作用，可不译。①路曼曼其修远兮，吾将上下而求索。（屈原《离骚》）"
且,"1．递进关系，而且，并且，况且，再说。例：彼所将中国人不过十五六万，且己久疲。（司马光《赤壁之战》）且燕赵处秦革灭殆尽之际。（苏洵《六国论》）
2．让步关系，尚且，还。①臣死且不避，卮酒安足辞！（司马迁《鸿门宴》）②故之圣人，其出人也远矣，犹且从师而问焉。（韩愈《师说》）
3．并列关系：又，又……又……，一面……，一面……命如南山石，四体康且直。
4. 副词．将，将要。若属皆且为所虏。（司马迁《鸿门宴》
5．暂且，姑且。誓不相隔卿，且暂还家去。（《孔雀东南飞》）"
若,"1. 代词。“你”“你们”“你的”。若入前为寿，寿毕，请以剑舞。（司马迁《鸿门宴》）更若役，复若赋……（柳宗元《捕蛇者说》）
2．表近指，相当于“这”“这样”“如此”。以若所为求若所欲，犹缘木而求鱼也。（孟子《齐桓晋文之事》）
3. 表假设，相当于“如果”“假设”等。若不能，何不按兵束甲，北面而事之！（司马光《赤壁之战》）
4．表选择，相当于“或”“或者”。以万人若一郡降者，封万户。（《汉书·高帝纪》）
5．至，至于。①若民，则无恒产，因无恒心。（孟子《齐桓晋文之事》）
6. 复音虚词“若夫”。用在一段话的开头、引起论述的词。近似“要说那”、“像那”。①若夫淫雨霏霏，连月不开。（范仲淹《岳阳楼记》）
7. 形容词词尾，……的样子。桑之未落，其叶沃若。《诗经.氓》"
所,"1. 处所，地方。某所，而母立于兹。（归有光《项脊轩志》）
2. 助词1．放在动词前同动词组成“所”字结构，表示“所……的人”、“所……的事物”、“所……的情况”等。道之所存，师之所存也。（韩愈《师说》）过蒙拔擢，宠命优渥，岂敢盘桓，有所希冀。（李密《陈情表》）
3．“为”和“所”呼应，组成“为……所……”的格式，表示被动。仆以口语遇遭此祸，重为乡党所笑，以污辱先人。（司马迁《报任安书》）
4. 复音虚词所以．表示凭借、方法或原因。师者，所以传道受业解惑也。（韩愈《师说》）所以遣将守关者，备他盗之出入与非常也。（司马迁《鸿门宴》
5. ……的地方，……的办法。见渔人，乃大惊，问所从来。《桃花源记》"
为,"1. 对，向。如姬为公子泣。（司马迁《信陵君窃符救赵》）不足为外人道也。《桃花源记》
2. “替”“给”。公为为献之。《鸿门宴》
3. 表示动作、行为的时间。可译为“当”“等到”等。为其来也，臣请缚一人过王而行。（《晏子使楚》）
4．为了，因为。慎勿为归死，贵贱轻何薄。（《孔雀东南飞》）
5．表被动，有时跟“所”结合，构成“为所”或“为……所”，译为“被”。身死人手，为天下笑者，何也？（贾谊《过秦论》）
6. 疑问句句尾，表示疑问或反诘，“呢”。如今人方为刀俎，我为鱼肉，何辞为？（司马迁《鸿门宴》）何故怀瑾握瑜而自令见放为？（司马迁《屈原列传》）
7. 动词“作为”“充当”“认为”“成为”等义，翻译比较灵活。①斩木为兵，揭竿为旗。（贾谊《过秦论》）南取百越之地，以为（划为）桂林、象郡。（贾谊《过秦论》）
非为织作迟，群家妇难为。（《孔雀东南飞》）"
焉,"1. 兼词。1．相当于“于之”、“于此”、“于彼”。①三人行，必有我师焉（在其中）。（《论语》）②积土成山，风雨兴焉（从这里）。（荀子《劝学》）
2．代词。1．相当于“之”。犹且从师而问焉。（韩愈《师说》）
3. 语气词。1。句末语气词，了，啊，呢。至丹以荆卿为计，始速祸焉。（苏洵《六国论》）
4. 反诘语气，“呢”。万钟于我何加焉！《鱼我所欲也》
5. 疑问副词，为什么，怎么。焉用亡郑以陪邻？《烛之武退秦师》
6. 作词尾，相当于“然”，译为“……的样子”“……地”。盘盘焉，囷囷焉，蜂房水涡，矗不知乎几千万落。（杜牧《阿房宫赋》）"
