absolutely 完全地；绝对地；确实
according to  prep. 按照；根据
actually  adv. 实际上；事实上
addict  n. [C] 吸毒上瘾的人；对……着迷的人
adorable  adj. 讨人喜欢的；可爱的
ambitious  adj. 有抱负的；野心勃勃的
anticipate  vt. 期待；预期；预料
apparently  adv. 看来(好像)；显然；据说
assign  vt. 分配；分派
barely  adv. 仅仅；勉强；几乎没有
bet  vi. & vt. (用……)打赌；(与……)打赌;vt. 敢说；确信;n. [C] 打赌；赌金
blog  n. [C] (计算机)网络日志；博客
boost  vt. 使增长；使兴旺
calendar  n. [C] 日历；历法
calligraphy  n. [U] 书法
calorie  n. [C] 卡路里(食物的热量单位)
campus  n. [C] & [U] (大学、学院的)校园；校区
capable  adj. 有能力的；能干的
capacity  n. [C] & [U] 容量；能力
career  n. [C] 事业；职业； 生涯；(一段)工作经历
cease  vi. & vt. 停止；终止；结束
celebrity  n. [C] 名人；名流
certainly  adv. 必然；肯定地；当然；没问题
charity  n. [U] 慈善(事业)；[C] 慈善机构 / 团体；[U] 慈悲；宽容
cite vt.  引用
claim vt. 声称；宣称；vt. & vi. (根据权利)要求；索要；认领；vt. 夺去(生命) n. [C]  声称；断言；(对事物的)权利；所有权；要求；索赔
client  n. [C] 委托人；顾客；客户
clue  n. [C] 线索；提示
collapse  vi. 倒塌；崩溃；瓦解
column  n. [C] 柱；圆柱；柱状物；(表格等的)栏；列；(报刊等的)专栏
comic  adj. 滑稽的 n. [C] 连环漫画
community  n. [C] 社区；群体；团体；界；[与the连用] 社会；公众
comparison  n. [C] & [U] 比较；比拟
complain  vi. & vt. 抱怨
complicated  adj. 复杂的；难懂的
compose  vt. 构成；组成；vt. & vi. 创作(乐曲、诗歌等)；vt. 撰写
comprehensive  adj. 全面的；综合(性)的 n. [C] 综合中学
comprise  vt. 包括；构成
confidence  n. [U] 信赖；信任；自信；信心；确信；把握
Confucianism  n. [U] 孔子学说；儒教
Confucius  n. 孔子
confused  adj. 困惑的；糊涂的；混乱的；难懂的
consultation  n. [U] 商量；咨询
consumption  n. [U] 消费(量)；消耗(量)
contact n. [U] 触碰；接触；[U] 联系；联络；交往；[C] 社会关系；门路；熟人 vt. (用电话、信件等)联系 / 联络(某人)
contest  n. [C] 比赛；竞争；竞赛
context  n. [C] & [U] (文章的)上下文；语境；(事情发生的)背景
contract n. [C] 契约；合同vi. 缩小；收缩；vi. & vt. 签(合同)
contrast vt. & vi. (使)形成对照；(使)形成对比n. [C] & [U] 差异；对比；对照
cooperate  vi. 合作；协作；配合
core n. [C] 果核；核心；最重要的部分adj. 基础的；核心的
corporate  adj. 公司的；团体的
costume  n. [C] & [U] (某地或某历史时期的)服装；戏装
council  n. [C] 委员会；理事会；(英国的)地方议会
county  n. [C] (英国的)郡；(美国的)县
coverage  n. [U] 覆盖(范围)；新闻报道；保险(范围)
creative  adj. 有创造力的；创造性的
crisis  n. [C] & [U] 危机；紧要关头
critical  adj. 批判的；挑剔的；紧要的；关键的
criticize / criticise  vi. & vt. 批评；批判；指责；vt. 评价；评论(艺术作品等)
crucial  adj. 关键性的；至关重要的
current adj. 现时的；当前的；现行的；通用的；流通的；流行的 n. [C] 水流；电流；气流
cute  adj. 漂亮的；逗人喜爱的
decent  adj. 正派的；得体的；相当好的
definitely  adv. 确切地；肯定地
definition  n. [C] & [U] 释义；定义
demonstrate  vt. 证明；论证；vt. 示范；演示；显示；vi. **；****
deny  vt. 否认；否定；拒绝承认；拒绝接受；拒绝给予
depress  vt. 将(某物)压下；推下；拉下；使抑郁；使沮丧；使消沉；使萧条；削弱
despite  prep. 不管；尽管；任凭
detail  n. [C] 细节；琐事；[U] 详情
detect  vt. 察觉；发现；侦查出
device  n. [C] 装置；设备；仪器
dining  n. [U] 进餐
discipline  n. [U] 训练；管教；纪律；[C] 训练办法；[U] 自制力
display n. [C] 陈列；展览；表演；(特性、情感或能力的)显示；表露 vt. 陈列；展览；显示
distinct  adj. 明显不同的；截然不同的；明显的；清楚的
distribution  n. [U] 分配；配送；[C] & [U] 分布
dolphin  n. [C] 海豚
domain   n. [C] 领地；领域
domestic  adj. 家务的；家养的；本国的；国内的
dominate  vi. & vt. 支配；控制；vt. (山、塔等)高出于；俯视
dragon  n. [C] 龙
drama  n. [C] (一出)戏；戏剧性事件；[U] 戏剧；戏剧艺术；戏剧文学
dramatic  adj. 戏剧的；戏剧性的；给人印象深刻的
drought  n. [U] & [C] 干旱；旱灾
duration  n. [U] 持续；期间
ease n. [U] 舒适；悠闲；自在；容易；不费力vi. & vt. 减轻；缓解；(使)小心缓慢地移动
economic  adj. 经济(学)的；经济上的；有利可图的；合算的
efficient  adj. 有效率的；高效能的
elderly  adj. (人)较老的；上了年纪的
election  n. [C] & [U] 选举；推选
element  n. [C] 要素；基本部分；(化学)元素
elsewhere  adv. 在别处；到别处
embarrassed  adj. 尴尬的
emerge  vi. 浮现；出现；(问题等)冒出；兴起
emotion  n. [C] & [U] 感情；情绪；激情
emphasis  n. [C] & [U] 强调；重视；重读；重音；加重语气
enable  vt. 使能够；使成为可能
encounter  vt. 遇到(问题等)；偶然碰到(某人) n. [C] 相遇；邂逅
engage  vt. & vi. (使)参加；(使)参与；vt. 吸引(住)；vt. 雇用；聘请
English n. [U] & [C] 英语；英文；[U] 英语学科；(the English)英格兰人 adj. 英语的；英格兰(人)的；英国(人)的
enhance  vt. 增强
enormous  adj. 巨大的；庞大的
ensure  vt. 确保；保证
entirely  adv. 全部地；完全地
entitle  vt. 给……取名 / 命名；使……有权利 / 资格
episode  n. [C] (电视连续剧或广播剧的)一集
equator  n. [用单数，常用作the equator] 赤道
essential  adj. 必不可少的；最重要的；本质的
establish  vt. 建立；创立；设立；确立；立足；得到认可
estate  n. [C] 庄园；种植园；[C] 房地产；上有大片建筑物的土地；[C] & [U] 个人全部财产(尤指遗产)
estimate  vt. 估计；估算；估价 n. [C] 估计；估算；估价
eve  n. [C] (节日或重大事件的)前夜；前夕
exactly  adv. 确切地；恰好；正是
exceptional  adj. 杰出的；罕见的
excited  adj. 兴奋的；激动的
exciting  adj. 令人兴奋的；使人激动的
expansion  n. [C] & [U] 扩大；扩张；扩充
exposure  n. [U] 暴露；显露；[U] 揭露；揭发
extend  vt. 伸开；展开；伸出；vt. & vi. (使)延伸；(使)延长；vt. & vi. (使)扩大；(使)扩展
external  adj. 外(面)的；外部的
extinction  n. [U] 灭绝；消亡
extremely  adv. 极其；非常
fabric  n. [U] & [C] 织物；织品；结构
facilitate  vt. 促进；使便利
facility  n. [C] [复数] 设施；设备；(用于某种活动、行业或服务的)场所；建筑
factor  n. [C] 因素；要素
fashion  n.  [U] & [C] (服饰等的)流行式样；最新款式；[C] (谈吐、行为等的)时尚；[U] 时装业
feature n. [C] 特征；特点；面貌的一部分(指眼、口、鼻等)；面貌(特征)；(报纸、电视等的)特 写；专题节目 vt. 是……的特征；以……为特色；vi. 起重要作用；占重要地位
finally  adv. 最后；最终
finding  n. [C] 发现；调查 / 研究结果
flavo(u)r  n. [C] & [U] 味道；风味；特点
formal  adj. 正式的；正式场合用的；正规的；形式(上)的
fortunately  adv. 幸运地；幸亏
