"subject","/ˈsʌbdʒekt/","/ˈsʌbdʒɪkt/","n. 主题，话题；学科，科目，课程；主语；（绘画、摄影等的）主题，题材；实验对象；（批评、学习、调查的）对象；国民；起因；（逻）主词，主项，主概念；（乐）主旋律；（哲）主体，主观；中心实体<br>v. 使臣服，征服，压服；使经受，使遭受<br>adj. 隶属的，臣服的；可能受……影响的，易遭受……的；受……支配的，服从于……的；取决于，视……而定"
"project","/ˈprɑːdʒekt; prəˈdʒekt/","/ˈprɒdʒekt; prəˈdʒekt/","n. 项目，计划；（学校的）课题，研究项目；<美>廉租房区，公共房屋区<br>v. 预计，推算；计划，规划；伸出，突出；投掷，喷射；投射，投影；展现，表现；使（声音，尤指嗓音）扩及远处；传播；想像（自己、场景等）在另一地点或时间；（尤指无意地把情感、愿望）投射转移（给别人）；使（某人）迅速成功，让（某人）获得更好的工作；作（曲线）的射影图；把（地球，天空等）投影在平面上"
"draw","/drɔː/","/drɔː/","v. 画，绘画；草拟，制定；吸引，使注意；引起（反应）；获得，得到；推断出；抽出，吸出；（从银行账户）取出；拉，拖；利用，动用；抽（烟），吸（气）；放（血），抽（血）；拔出，掏出；以平局结束；抽签，抓阄；（向特定方向）移动；使说出，使吐露；作（比较或对比）；（船）吃（水）；（帆）吃饱风；（滚木球）使（球）朝预定的目标作弧线运动；（茶）被泡开<br>n. 平局；抽彩，抽签；有吸引力的人（或事物）；吸烟；拔枪；（高尔夫）偏球"
"cause","/kɔːz/","/kɔːz/","n. 原因；事业；理由<br>v. 引起"
"module","/ˈmɑːdʒuːl/","/ˈmɒdjuːl/","n. （机器、建筑物等的）组件，模件；（课程的）单元，模块；（计算机）模件，功能块；（航天器的）舱"
"object","/ˈɑːbdʒekt; əbˈdʒekt/","/ˈɒbdʒɪkt; əbˈdʒekt; əbˈdʒekt/","n. 物体，实物；目的，目标；宾语；（引发某种情感或行为的）对象；客体；（计算机）对象<br>v. 反对；反对说，反对的理由是"
"tony","/ˈtoʊni/","/ˈtəʊni/","adj. （非正式，主要用于美国英语）豪华的，时髦的，上等的"
"rock","/rɑːk/","/rɒk/","n. 岩石；礁石；（尤指凸出地面的）岩块，大石块；碎石，石子；<非正式>钻石，宝石；摇滚乐；可信赖的人，靠山；<英>棒棒糖；轻轻摇动，轻轻摇摆<br>v. （使）轻轻摇晃，缓缓摆动；（使）剧烈摇摆，猛烈晃动；使震惊，使害怕；<非正式>（尤指自信或惹人注目地）穿（衣）；<非正式>跳摇滚舞，奏摇滚乐；<俚>很好，棒极了"
"plane","/pleɪn/","/pleɪn/","n. 飞机；（几何学中的）平面；（物体的）平面；（穿过或连接物体的）虚构平面；（存在、思想或发展）水平；木工刨，刨子；悬铃木；翼面<br>adj. 平的，平坦的；二维平面的，二维空间的<br>v. 滑翔；擦着水面疾驶；刨平；刨除；<罕>乘飞机旅行"
"aid","/eɪd/","/eɪd/","n. 帮助；援助，救助；辅助物，辅助设施；助手；特别津贴，国库税<br>v. 帮助，援助；促进，有助于"
"relative","/ˈrelətɪv/","/ˈrelətɪv/","n. 亲戚，亲属；同类事物，亲缘动物（或植物）；（语法）关系代词，关系限定词，关系副词；（哲学）关系项；相关物<br>adj. 相比较而言的，比较的；相对的，相关联的；（语法）（代词、限定词或副词）关系的，（从句）由关系词引导的；（乐）（大小调）调号相同的；（与不同军种的军阶）相应（或对应）的；<正式> 关于（或涉及到）......的；相比之下存在（或有）的"
"state","/steɪt/","/steɪt/","n. 状态，状况；紧张，焦虑；政府；国家；州，邦；<非正式>美国；国事礼仪，隆重仪式；（物质的）形态，态；（物理学）量子态；泽西、根西和奥尔德尼三岛的立法机关；压印，印图；受公众瞻仰和吊唁<br>adj. 州的；国事的，国事礼仪的；国家提供（或控制）的<br>v. 陈述，说明；规定，公布；表现（主题，旋律）"
"presentation","/ˌpriːz(ə)nˈteɪʃ(ə)n/","/ˌprez(ə)nˈteɪʃ(ə)n/","n. （颁奖等）仪式，典礼；授予，颁发；（在仪式上接受的）奖项，赠予物；展示会，介绍会，发布会；陈述，报告，说明；（事物的）呈现方式；（证件等的）出示；（证物的）提交，提供；（戏剧的）演出；（胎儿的）先露位置，产位；（尤指在帝王前）正式引见，引……朝见；<史>（圣职等的）推荐"
"sandy","/ˈsændi/","/ˈsændi/","adj. 沙地的，多沙的，含沙的或沙质的；（多指毛发）沙色的，浅黄褐色的"
"bill","/bɪl/","/bɪl/","n. （商品、服务或餐馆的）账单；议案，法案；纸币，钞票；演出人员名单；广告，传单；票据，汇票；单子，清单；喙<br>v. 开账单；把……宣传为；宣布（某人）将参加演出"
"adverbial","/ædˈvɜːrbiəl/","/ædˈvɜːbiəl/","adj. 副词的，状语的<br>n.  状语"
