dam,/dæm/,/dæm/,"n. 堤，坝；母兽，母畜
v. （在河上）筑坝；阻止，抑制"
damn,/dæm/,/dæm/,"int. 该死，见鬼（表示很生气或失望）；天啊（表示赞叹或惊奇）
adj.  该死的（表示对某人或某物生气）；（用于加强语气）十足的，完全的；
adv. 极其，非常；丝毫不
v. 严厉批评，谴责；（表愤怒或厌烦）该死，讨厌，混账；令（某人）下地狱；（强调对某事毫不在意）不管，无所谓；真没想到，真让我吃惊；决不，绝对不；贬斥，把……说得很糟糕；左右为难，做也不是，不做也不是；注定受难（或失败）；诅咒
n. 一点点，丝毫；（对……）在乎"
damp,/dæmp/,/dæmp/,"adj. 潮湿的
n. 湿气，潮气；沼气；气馁
v. 使潮湿，弄湿；减弱，抑制；把（火）调小；限止（钢琴或其他乐器琴弦）的音；减幅，阻尼"
dare,/der/,/deə(r)/,"v. 激，激将；敢于，胆敢
n. 挑战，激将"
darling,/ˈdɑːrlɪŋ/,/ˈdɑːlɪŋ/,"n. 亲爱的，宝贝；亲切友好的人；宠儿，红人
adj. 亲爱的，心爱的；可爱的，迷人的"
dawn,/dɑːn/,/dɔːn/,"v. 变得明朗，开始清楚；破晓，开始
n. 拂晓，黎明；曙光，开端"
debt,/det/,/det/,n. 欠款，债务；负债情况；人情债
decay,/dɪˈkeɪ/,/dɪˈkeɪ/,"v. （建筑、地方等）破败，衰落；（观念、影响力等）衰败；（使）腐朽，腐烂
n. 腐烂；（观念、机构、制度等）衰退"
deceased,/dɪˈsiːst/,/dɪˈsiːst/,"adj. 已故的
n. 死者；被继承人"
deceive,/dɪˈsiːv/,/dɪˈsiːv/,v. 欺骗，蒙骗；使误信，误导；对（丈夫、妻子或伴侣）不忠
decent,/ˈdiːsnt/,/ˈdiːsnt/,adj. 像样的，尚好的；得体的，合宜的；穿好衣服的；正派的，规矩的；待人宽厚的，和善的
deck,/dek/,/dek/,"n. 甲板，舱面；（船或公共汽车的）层；（屋后供休息的）木制平台；（唱机的）盘装置，（音响系统的）走带机构
v. 装饰，打扮；用力击倒；装甲板"
deduce,/dɪˈduːs/,/dɪˈdjuːs/,v. 推断，演绎；对……追本溯源
deed,/diːd/,/diːd/,"n. 行为，行动；契约，证书；功绩，英勇事迹
v. 立契转让"
defect,/ˈdiːfekt/,/ˈdiːfekt/,"n. 缺点，缺陷，毛病
v. 背叛，叛变"
dehydration,/ˌdiːhaɪˈdreɪʃ(ə)n/,/ˌdiːhaɪˈdreɪʃ(ə)n/,n. 脱水
deliberate,/dɪˈlɪbərət/,/dɪˈlɪbərət/,"adj. 故意的，蓄意的；从容的，小心翼翼的；深思熟虑的
v. 仔细考虑，认真商讨"
delicate,/ˈdelɪkət/,/ˈdelɪkət/,"adj. 柔和的，清淡的；虚弱的，纤弱的；脆弱的，易碎的；小巧玲珑的，纤细的；微妙的，棘手的；精致的，精巧的；灵巧的，熟练的；（仪器）灵敏的
n. 精美的衣物"
demand,/dɪˈmænd/,/dɪˈmɑːnd/,"v. 强烈要求；需要，需求
n. 坚决的要求；需求，需求量；（困难的）要求"
demanding,/dɪˈmændɪŋ/,/dɪˈmɑːndɪŋ/,adj. 费时费力的；苛刻的，难以满足的
demonstrate,/ˈdemənstreɪt/,/ˈdemənstreɪt/,v. 证明；示范，演示；表露；游行，示威
depart,/dɪˈpɑːrt/,/dɪˈpɑːt/,v. 启程，出发；背离，违背；离职
department,/dɪˈpɑːrtmənt/,/dɪˈpɑːtmənt/,n. （组织或机构中的）部，司，系，处，科；（商场里的）部；专长，专责；（法国等国的）省
departure,/dɪˈpɑːrtʃər/,/dɪˈpɑːtʃə(r)/,n. 背离；离开，启程
deposit,/dɪˈpɑːzɪt/,/dɪˈpɒzɪt/,"v. 放下，放置；储蓄；存放，寄存；沉积，沉淀；支付（押金、订金或预缴费用）
n. 沉积物，沉积层；订金；押金；存款；竞选保证金"
depress,/dɪˈpres/,/dɪˈpres/,v. 使抑郁，使沮丧；降低，抑制；使萧条，使不景气；按下，压下
depression,/dɪˈpreʃ(ə)n/,/dɪˈpreʃn/,n. 抑郁，沮丧；萧条（期），不景气；低气压；凹陷，浅坑；俯角，俯视角
descendant,/dɪˈsendənt/,/dɪˈsendənt/,"n. 后裔，子孙；派生物，衍生物
adj. 下降的；祖传的"
desert,/ˈdezərt/,/ˈdezət/,"n. 沙漠，荒漠；荒凉的地方；应得的赏罚
v. 离弃，舍弃（某地）；抛弃，遗弃（某人）；背弃，放弃；擅离，开小差；突然丧失
adj. 无人居住的，荒凉的；像沙漠的"
despair,/dɪˈsper/,/dɪˈspeə(r)/,"n. 绝望；令人绝望的人或事
v. 绝望，丧失信心"
desperate,/ˈdespərət/,/ˈdespərət/,adj. 不顾一切的，拼命的；极需要的，渴望的；极严重的，极危险的；绝望的，无望的；绝望的，无望的
dessert,/dɪˈzɜːrt/,/dɪˈzɜːt/,n. （正餐后的）甜点
destination,/ˌdestɪˈneɪʃ(ə)n/,/ˌdestɪˈneɪʃn/,"n. 目的地，终点，目标
adj. 作为目的地的"
destiny,/ˈdestəni/,/ˈdestəni/,n. 命运，定数；天意，命运之神
detect,/dɪˈtekt/,/dɪˈtekt/,v. 查明，察觉；测出，检测，识别
detector,/dɪˈtektər/,/dɪˈtektə(r)/,n. 探测器，检测器；发现者
detective,/dɪˈtektɪv/,/dɪˈtektɪv/,"n. 侦探，警探；私家侦探
adj. 有关调查工作的；刑侦的"
devil,/ˈdev(ə)l/,/ˈdev(ə)l/,"n. 魔鬼；魔王，撒旦；家伙，人；恶棍；淘气鬼，冒失鬼；棘手的事，麻烦事；切碎机
v. 困扰，使担忧；抹辣味料烤（肉等）；（用扯碎机）扯碎（破布）；做律师（或作家等）的助手"
dew,/duː/,/djuː/,n. 露水；（似露珠的）小水珠
dewdrop,/ˈduːdrɑːp/,/ˈdjuːdrɒp/,n. 露珠；露滴
dial,/ˈdaɪəl/,/ˈdaɪəl/,"v. 拨号
n. 钟面，仪表盘；调节器；（老式电话机的）拨号盘"
dialect,/ˈdaɪəlekt/,/ˈdaɪəlekt/,n. 方言，土话
dialog,/ˈdaɪəlɔːɡ/,/ˈdaɪəlɒɡ/,n. 对话；会话
diamond,/ˈdaɪmənd; ˈdaɪəmənd/,/ˈdaɪmənd; ˈdaɪəmənd/,n. 钻石；菱形；（纸牌的）方块；（棒球场的）内场；菱形铁路道口
diarrhoea,/ˌdaɪəˈriːə/,/ˌdaɪəˈrɪə/,n. 腹泻
dictation,/dɪkˈteɪʃ(ə)n/,/dɪkˈteɪʃ(ə)n/,n. 口述，听写；命令，发号施令
diet,/ˈdaɪət/,/ˈdaɪət/,"n. 规定饮食；大量单调的活动；日常饮食
v. 节食
adj. 低脂的，低糖的"
dignity,/ˈdɪɡnəti/,/ˈdɪɡnəti/,n. 尊严，自尊；庄严，端庄，庄重；尊贵，高贵，高尚；高位，显职
dilemma,/dɪˈlemə/,/dɪˈlemə/,n. （进退两难的）窘境，困境；二难推理，两刀论法
diligence,/ˈdɪlɪdʒəns/,/ˈdɪlɪdʒəns/,n. 勤奋，用功；公共马车
diligent,/ˈdɪlɪdʒənt/,/ˈdɪlɪdʒənt/,adj. 勤奋的，勤勉的；细致的，潜心的
dim,/dɪm/,/dɪm/,"adj. 暗淡的，昏暗的；模糊的，看不清的；愚笨的，迟钝的；前景暗淡的，不乐观的
v. （使）变暗；变淡漠，失去光泽；（使）变模糊"
dimension,/daɪˈmenʃn; dɪˈmenʃn/,/daɪˈmenʃ(ə)n/,"n. 大小，尺寸；（空间的）维度；范围，规模；方面，部分
v. 切削（或制作）成特定尺寸；标出尺寸"
dimensional,/daɪˈmenʃən(ə)l/,/daɪˈmenʃən(ə)l/,adj. 维度的
dine,/daɪn/,/daɪn/,v. 进餐，吃饭；宴请
dioxide,/daɪˈɑːksaɪd/,/daɪˈɒksaɪd/,n. 二氧化物
dip,/dɪp/,/dɪp/,"v. 浸，蘸；下降，下沉；伸进，伸入；减少，降低；浏览，翻看；动用（款项等）；扒窃
n. 游一游，泡一泡；减少，下降；调味酱；凹陷处，低洼处；药浴液；翻阅，浏览"
diploma,/dɪˈploʊmə/,/dɪˈpləʊmə/,n. 毕业文凭，学位证书；文凭课程，职业课程；公文，文书
diplomacy,/dɪˈploʊməsi/,/dɪˈpləʊməsi/,n. 外交，外交技巧；（处理人际关系的）手腕，策略
diplomat,/ˈdɪpləmæt/,/ˈdɪpləmæt/,n. 外交官，外交家；有手腕的人，善交际的人
disarm,/dɪsˈɑːrm/,/dɪsˈɑːm/,"v. 缴……的械，解除……的武装；拆除（炸弹等的）引信；使友好，消除……的敌意；裁减军备，裁军
n. 解除（某人的）武器"
disaster,/dɪˈzæstər/,/dɪˈzɑːstə(r)/,n. 灾难，灾害；祸患，灾难性事物；彻底的失败
discharge,/dɪsˈtʃɑːrdʒ/,/dɪsˈtʃɑːdʒ/,"v. 释放，允许……离开；解雇；使退伍；（使）流出，（使）排出；开火，发射；放（电）；履行（职责），清偿（债务）；（法官，法庭）撤销（法院命令）；卸（货），让……下车
n. 允许出院，释放；任务的执行，债务的偿还；解雇；退伍；（法庭命令的）撤销；放电；排出物，分泌物；（物质的）放出，排出；射击，开火；（仪器、雷暴等释放出来的）电"
discipline,/ˈdɪsəplɪn/,/ˈdɪsəplɪn/,"n. 纪律，风纪；惩罚，处分；训导，管教；训练，锻炼；自制力，自律能力；（尤指大学的）科目，学科
v. 惩罚，处分；训练，管教"
discount,/ˈdɪskaʊnt/,/ˈdɪskaʊnt/,"n. 减价，折扣；（汇票或期票到期前转手的）贴现率
adj. 打折的，减价出售的
v. 打折，减价；不重视，忽视；贴现；（持票人或受票人）把（票据）贴现"
discriminate,/dɪˈskrɪmɪneɪt/,/dɪˈskrɪmɪneɪt/,v. 区分，辨别；歧视，区别对待
discrimination,/dɪˌskrɪmɪˈneɪʃ(ə)n/,/dɪˌskrɪmɪˈneɪʃn/,n. 歧视，区别对待；区分，辨别；辨别力，鉴赏力
disguise,/dɪsˈɡaɪz/,/dɪsˈɡaɪz/,"v. 假扮，伪装；掩饰，隐瞒
n. 伪装物，伪装"
disgust,/dɪsˈɡʌst/,/dɪsˈɡʌst/,"n. 反感，憎恶；厌恶，憎恶
v. 使反感，使憎恶；使感到恶心（作呕）"
disinfect,/ˌdɪsɪnˈfekt/,/ˌdɪsɪnˈfekt/,v. 给……杀菌，为……消毒；给（计算机）杀毒
dismiss,/dɪsˈmɪs/,/dɪsˈmɪs/,v. 开除，解雇；不考虑，不理会；驳回，停止受理；让……离开，解散；（板球）使退场，使出局
dismissive,/dɪsˈmɪsɪv/,/dɪsˈmɪsɪv/,adj. 轻蔑的，鄙视的，不加考虑的，不屑一顾的
disorder,/dɪsˈɔːrdər/,/dɪsˈɔːdə(r)/,"n. 混乱，杂乱；骚乱，动乱；紊乱，疾病
v. 打乱，使紊乱"
dispose,/dɪˈspoʊz/,/dɪˈspəʊz/,v. 处理，放置，安排；使易于，使倾向于；丢掉
disposable,/dɪˈspoʊzəb(ə)l/,/dɪˈspəʊzəb(ə)l/,"adj.  一次性的，用完即丢弃的；可支配的，可自由使用的；（人，观点）可有可无的，可轻易放弃的
n. 一次性用品"
disposal,/dɪˈspoʊz(ə)l/,/dɪˈspəʊz(ə)l/,n. 处理，清除；（土地、财产等的）变卖，转让；安排，安置
dissolve,/dɪˈzɑːlv/,/dɪˈzɒlv/,"v. 解散，解除；消失；（以化学手段）除去，分散；（使）溶解
n. （电影中）（画面的）叠化，淡入淡出"
distinct,/dɪˈstɪŋkt/,/dɪˈstɪŋkt/,adj. 不同的，有区别的；清楚的，明显的；确切的
distinction,/dɪˈstɪŋkʃn/,/dɪˈstɪŋkʃn/,n. 差别，区分；杰出，卓越；特点；荣誉
distinguish,/dɪˈstɪŋɡwɪʃ/,/dɪˈstɪŋɡwɪʃ/,v. 使有别于；看清，认出；区别，分清
distract,/dɪˈstrækt/,/dɪˈstrækt/,v. 使分心，使转移注意力
distribute,/dɪˈstrɪbjuːt/,/dɪˈstrɪbjuːt/,v. 分发，分配；配送，分销；散布，使分布；（印刷）拆（版）还字；周延
