高阶词句 代替 低阶词句,Attach(greater) importance to, 代pay attention to.注意、重视。
高阶词句 代替 低阶词句,I failed to attend it, 代I did not attend it.(attend换成其他动词也适用)我没参加、没通过、没注意到等
高阶词句 代替 低阶词句,never fail to fascinate sb, 代always attract sb. 总是吸引我（fascinate替换成其他动词也适用）
高阶词句 代替 低阶词句,Be regarded as, 代be(He ** ** **as a brave boy.代替He is a brave boy)
高阶词句 代替 低阶词句,Instead of, 代not(It's ** ** your responsibility.代替It's not your responsibility)
高阶词句 代替 低阶词句,Tend to, 代prefer to(I ** ** use cell phone rather than watch TV.代替I prefer to use cell phone)
高阶词句 代替 低阶词句,Be available to, 代be/can(Will you ** ** ** attend the celebration?代替Can you attend the celebration?)
高阶词句 代替 低阶词句,Be keen on, 代like(He ** ** ** Martial Arts代替He likes Martial Arts)
高阶词句 代替 低阶词句,Knowing that, 代I know(** **)
高阶词句 代替 低阶词句,With(great) ease, 代easily(He passed through the cave ** **代替He easily passed through the cave.)
高阶词句 代替 低阶词句,Be of(great) importance to sb/sth, 代important to me.
高阶词句 代替 低阶词句,Get sb involved, 代let sb join in/take part in
高阶词句 代替 低阶词句,Share, 代tell(He ** his perspective with me代替He told me his idea)
高阶词句 代替 低阶词句,Upcoming, 代will come(We will face a tough challenge in the upcoming competition代替The hard competition will come)
衔接用句,To begin with,介词短语，首先，接句子。引起话题。
衔接用句,As is known to all ,介词短语，众所周知
衔接用句,No wonder people say/ it is not surprising that,怪不得人们说/不奇怪/显然，等同于there is no doubt that/it is obvious that
衔接用句,"(Yet) from sth to sth and sth, our ocean is under threat. ",(然而)从A到B再到C。使结构清晰的连接词。
衔接用句,What’s more/ additionally/in addition ,此外，而且，代替moreover
衔接用句,From my perspective ,代替in my opinion
衔接用句,For one thing… for another…,一方面……另一方面……
衔接用句,I added接句子。,我补充到/继续说到。多句话之间要有衔接。
衔接用句,It is no more important.,不再重要了。情感或情节转折时要善用转折句。
衔接用句,It is worth nothing that ,值得注意的是，值得一提的是
衔接用句,in which case ,在这种情况下
衔接用句,for instance ,例如，代替for example.
衔接用句,As far as I am concerned ,代替for me. 就我而言
衔接用句,worse still ,更糟糕的是，用于句首或things will be ** **.
衔接用句,in terms of/considering that/given that,就…而言/依据/关于/考虑到 代替about
衔接用句,when it comes to ,当谈到 代替as to
衔接用句,here comes a,有，代替there be
衔接用句,at the thought of,一想到，代替once think of
活动/书信类,The celebration will fall on Oct.18th. ,庆典将在10月18日。代替It will be on…
